dataset,variant,seed,fold,best_epoch,train_seconds,test_uar,test_macro_f1,h_linear_mi_lb_bits,h_linear_control_bits,h_linear_entropy_bits
cremad,plain,42,4,35,121.1,0.6097926164297846,0.6020337242893664,0.8888565374230413,-1.5060382859236379,4.247550686408009
cremad,plain,42,5,29,111.8,0.6079804811760708,0.6073315211294515,1.1017734534359587,-1.317386025789884,4.169716095873848
cremad,plain,43,1,23,102.6,0.564263668430335,0.5540281618018186,1.0833811426363442,-0.9954345469094621,4.169925001442313
cremad,plain,43,2,31,87.7,0.5329949550879783,0.5293018501844814,1.4314858897967744,-1.2145628546445115,4.1699193444441836
cremad,plain,43,3,36,80.6,0.6425772117632583,0.6424526118529799,1.2542740100368777,-1.0353377950850824,4.1699193444441836
cremad,plain,43,4,30,78.0,0.6125413426298382,0.6037502439448852,1.2295398642046194,-1.1201669615016634,4.247550686408009
cremad,plain,43,5,40,75.0,0.6147379474350659,0.6109875154981361,1.0057447037673217,-1.2117006064198694,4.169716095873848
cremad,plain,44,1,33,75.0,0.5755070546737213,0.5708575285236505,1.0024996629107732,-1.308155607253096,4.169925001442313
cremad,plain,44,2,32,70.0,0.5469053771379353,0.5442352613916331,1.4010987336948397,-1.3408225028855885,4.1699193444441836
cremad,plain,44,3,29,65.8,0.6535222099175587,0.6527622007078059,1.0023528670467807,-1.3800160190007356,4.1699193444441836
cremad,plain,44,4,38,77.5,0.6128486189326897,0.6051531605669617,1.2376851619869398,-1.1407399368718183,4.247550686408009
cremad,plain,44,5,34,77.1,0.5982365113190647,0.5987938291649951,0.994919960485106,-1.351008939388918,4.169716095873848
cremad,subtract,42,1,32,128.8,0.6447310405643738,0.6340923184512666,-2.512123256227058,-1.244900378219051,4.169925001442313
cremad,subtract,42,2,30,124.8,0.6132428940568475,0.6096476855779527,-2.5018219958501096,-1.4360392166709515,4.1699193444441836
cremad,subtract,42,3,29,118.2,0.6627753168450844,0.6582970672964151,-2.4890478818564192,-1.307443400711703,4.1699193444441836
cremad,subtract,42,4,35,131.6,0.6455930991329222,0.6361112619092634,-2.5365540700211753,-1.4995979949745353,4.247550686408009
cremad,subtract,42,5,29,119.6,0.6552518607739585,0.6476489522514632,-2.5308855305211972,-1.3590757888180907,4.169716095873848
cremad,subtract,43,1,23,111.7,0.6428571428571429,0.6342231425149544,-2.393429530643255,-1.009025436885965,4.169925001442313
cremad,subtract,43,2,31,88.6,0.5978251507321274,0.5917174453725497,-2.4748295300197833,-1.2479209052633777,4.1699193444441836
cremad,subtract,43,3,36,81.6,0.668933800910545,0.663979183670767,-2.350666801439588,-1.0296622770076098,4.1699193444441836
cremad,subtract,43,4,30,79.2,0.6364418521498169,0.6261705278950477,-2.3746015783270833,-1.1493804653343593,4.247550686408009
cremad,subtract,43,5,40,76.0,0.660236573087495,0.6459214479183081,-2.904754098099093,-1.2910064175201503,4.169716095873848
cremad,subtract,44,1,33,76.2,0.628968253968254,0.6136787438199659,-2.4475250550178744,-1.2721908251526095,4.169925001442313
cremad,subtract,44,2,32,70.9,0.5910545096591608,0.5877632230872701,-2.6537269981418534,-1.391873511765981,4.1699193444441836
cremad,subtract,44,3,29,74.9,0.6786698658791682,0.6739632867177742,-2.6485949497813097,-1.3808907302479714,4.1699193444441836
cremad,subtract,44,4,38,84.1,0.6381123178689551,0.6260396359090986,-2.352465446024633,-1.1964583296586282,4.247550686408009
cremad,subtract,44,5,34,82.9,0.6448438802927824,0.6387294339905885,-2.8932424751936434,-1.3442579705482958,4.169716095873848
iemocap,inlp_trans,42,1,9,7.5,0.5416302204305548,0.4875836236173899,-0.18589472922532768,-0.15558530351582545,0.9836697149306288
iemocap,inlp_trans,42,2,24,24.0,0.5529019975658505,0.5357208547504444,-0.07807632119661767,-0.22006719832981825,0.9910444329385492
iemocap,inlp_trans,42,3,9,7.9,0.5335136106300589,0.5077378445464968,-0.07693224501765528,-0.12105503728735734,0.9973008701007469
iemocap,inlp_trans,42,4,15,37.3,0.6055669236810389,0.5593240764114359,-0.10911559779132796,-0.1222567814793617,0.9994846138022001
iemocap,inlp_trans,42,5,18,47.4,0.5205605406925997,0.4765397024717103,-0.2647145439258868,-0.21125635139581,0.9998765061155545
